;Casapound;PdF;NcI-UDC;Lega;FI;FdI;+E;PD;Insieme;CP;LeU;PVU;PaP;M5S;FN-FT;PRI-ALA;10VM;PCLtSCR;GN;IR-DC;INC;Ren-MIR;LdP;PpA;SiAmo;PC;AD;SVP-PATT;PD-UV-UVP-EPAV;PT;FI-FdI-MNVA;RC;@abs;@blank
Buttigliera Alta;37;32;18;672;485;133;165;811;25;19;125;11;46;1162;;;;;;;;;;;;;;;;;;;1018;27
Campiglione Fenile;2;4;6;225;129;41;24;125;1;2;23;12;5;195;;;;;;;;;;;;;;;;;;;248;14
Cantalupa;15;11;4;290;207;68;73;316;4;8;69;11;18;419;;;;;;;;;;;;;;;;;;;465;14
Caprie;11;14;4;217;111;33;47;230;10;2;45;2;23;478;;;;;;;;;;;;;;;;;;;338;16
Caselette;11;21;9;341;245;54;45;325;5;2;87;9;17;668;;;;;;;;;;;;;;;;;;;424;10
Cavour;24;11;22;976;595;104;93;471;4;21;65;9;26;617;;;;;;;;;;;;;;;;;;;1008;52
Cesana Torinese;22;2;0;181;104;54;24;83;0;3;18;7;5;127;;;;;;;;;;;;;;;;;;;82;5
Chianocco;14;2;4;214;95;23;22;114;3;7;36;5;43;384;;;;;;;;;;;;;;;;;;;272;6
Chiomonte;7;0;1;140;73;28;12;71;3;2;19;0;11;166;;;;;;;;;;;;;;;;;;;184;4
Chiusa di san Michele;10;4;6;172;89;30;17;108;1;8;43;5;22;366;;;;;;;;;;;;;;;;;;;275;13
Claviere;0;0;0;32;32;4;13;9;1;0;9;1;0;8;;;;;;;;;;;;;;;;;;;27;1
Coazze;24;7;4;385;275;58;52;254;13;1;51;5;34;549;;;;;;;;;;;;;;;;;;;679;20
Condove;27;16;43;414;299;83;84;423;18;19;91;7;61;1035;;;;;;;;;;;;;;;;;;;874;28
Cumiana;30;13;26;917;564;183;209;910;26;17;162;20;40;1220;;;;;;;;;;;;;;;;;;;1461;44
Exilles;1;0;1;20;14;2;3;14;0;0;4;2;8;62;;;;;;;;;;;;;;;;;;;70;1
Fenestrelle;7;3;2;78;53;24;13;47;2;2;21;1;11;79;;;;;;;;;;;;;;;;;;;72;2
Frossasco;14;17;6;379;267;75;67;305;5;3;47;8;12;452;;;;;;;;;;;;;;;;;;;516;26
Garzigliana;1;5;1;108;54;13;12;44;0;1;14;1;4;82;;;;;;;;;;;;;;;;;;;88;2
Giaglione;0;6;0;69;26;15;12;77;1;1;7;0;14;158;;;;;;;;;;;;;;;;;;;91;4
Giaveno;86;63;42;1766;1826;283;325;1464;22;34;276;31;111;2425;;;;;;;;;;;;;;;;;;;3141;79
Givoletto;22;20;4;499;310;110;78;412;8;6;97;9;33;732;;;;;;;;;;;;;;;;;;;578;14
Gravere;6;0;3;96;70;28;12;42;0;0;9;2;5;132;;;;;;;;;;;;;;;;;;;145;1
Inverso Pinasca;4;1;2;102;42;10;8;65;0;1;18;2;14;122;;;;;;;;;;;;;;;;;;;148;2
La Cassa;9;7;3;219;104;41;34;233;5;3;41;1;17;304;;;;;;;;;;;;;;;;;;;345;2
Luserna san Giovanni;42;24;16;709;446;103;183;831;21;93;190;27;87;961;;;;;;;;;;;;;;;;;;;1586;40
Lusernetta;1;6;0;59;62;10;10;64;3;4;17;3;5;56;;;;;;;;;;;;;;;;;;;77;6
Macello;7;10;4;198;114;40;12;122;3;4;16;1;7;129;;;;;;;;;;;;;;;;;;;190;13
Massello;0;0;0;10;1;2;1;4;1;0;1;0;8;6;;;;;;;;;;;;;;;;;;;10;0
Mattie;0;0;1;82;35;11;3;47;0;0;11;3;13;155;;;;;;;;;;;;;;;;;;;157;5
Meana di Susa;2;1;2;118;56;27;8;43;3;0;15;1;16;169;;;;;;;;;;;;;;;;;;;193;1
Mompantero;2;2;2;62;43;13;14;51;1;3;12;3;9;183;;;;;;;;;;;;;;;;;;;97;5
Moncenisio;0;0;0;10;1;0;0;3;0;0;0;0;0;9;;;;;;;;;;;;;;;;;;;3;0
Novalesa;2;3;1;79;49;11;7;37;2;0;9;1;6;118;;;;;;;;;;;;;;;;;;;94;3
Osasco;6;11;6;176;103;25;30;118;9;0;35;4;7;156;;;;;;;;;;;;;;;;;;;185;8
Oulx;57;13;5;513;261;100;72;237;6;9;43;11;14;490;;;;;;;;;;;;;;;;;;;549;15
Perosa Argentina;12;5;6;381;170;55;54;345;5;7;97;5;37;505;;;;;;;;;;;;;;;;;;;711;30
Perrero;6;0;1;95;33;6;9;83;1;0;20;1;13;84;;;;;;;;;;;;;;;;;;;149;1
Pinasca;6;9;13;353;136;57;49;346;9;4;94;18;48;476;;;;;;;;;;;;;;;;;;;621;38
Pinerolo;181;167;75;3286;2287;619;914;4248;80;73;937;103;540;5233;;;;;;;;;;;;;;;;;;;7441;161
Piossasco;137;83;100;1675;1269;291;351;2114;69;46;378;38;94;3965;;;;;;;;;;;;;;;;;;;3028;76
Piscina;20;10;6;460;329;60;46;285;5;7;69;9;12;565;;;;;;;;;;;;;;;;;;;633;29
Pomaretto;2;3;2;93;51;6;10;156;3;1;49;5;29;148;;;;;;;;;;;;;;;;;;;205;5
Porte;5;2;1;127;71;20;9;80;3;3;87;3;12;137;;;;;;;;;;;;;;;;;;;182;7
Pragelato;11;2;3;99;62;19;7;46;1;1;12;2;1;83;;;;;;;;;;;;;;;;;;;79;4
Prali;0;0;0;30;11;3;11;51;0;3;5;3;12;13;;;;;;;;;;;;;;;;;;;51;5
Pramollo;1;0;0;19;4;3;3;36;0;2;19;1;1;26;;;;;;;;;;;;;;;;;;;63;3
Prarostino;4;1;2;118;57;21;41;137;5;3;50;0;17;158;;;;;;;;;;;;;;;;;;;305;10
Reano;11;5;1;196;168;30;63;168;6;1;40;5;17;308;;;;;;;;;;;;;;;;;;;303;5
Roletto;9;12;138;146;165;45;58;224;6;3;63;5;10;292;;;;;;;;;;;;;;;;;;;322;17
Rora';2;0;0;27;10;0;8;22;1;1;12;2;7;33;;;;;;;;;;;;;;;;;;;53;1
Rosta;16;10;13;537;426;132;152;598;9;6;107;7;19;855;;;;;;;;;;;;;;;;;;;719;15
Roure;6;0;3;124;71;9;18;74;1;3;18;3;5;103;;;;;;;;;;;;;;;;;;;219;7
Rubiana;18;4;9;240;160;35;56;176;4;6;58;5;18;475;;;;;;;;;;;;;;;;;;;511;11
Salbertrand;5;2;2;76;42;14;5;50;2;1;10;2;4;102;;;;;;;;;;;;;;;;;;;86;2
Salza di Pinerolo;0;0;0;11;7;1;1;7;0;0;6;1;3;7;;;;;;;;;;;;;;;;;;;19;2
San Didero;2;0;0;67;33;9;5;39;0;1;13;2;1;160;;;;;;;;;;;;;;;;;;;74;1
Sangano;10;49;4;523;315;89;73;534;6;3;51;9;18;627;;;;;;;;;;;;;;;;;;;587;20
San Germano Chisone;7;2;3;221;71;20;42;180;4;2;75;14;13;219;;;;;;;;;;;;;;;;;;;450;11
San Gillio;17;9;5;425;227;69;65;334;5;3;66;9;13;684;;;;;;;;;;;;;;;;;;;474;7
San Giorio di Susa;5;3;1;110;51;7;12;80;1;1;18;2;15;260;;;;;;;;;;;;;;;;;;;187;12
San Pietro val Lemina;8;3;1;216;130;57;29;175;2;4;30;0;19;187;;;;;;;;;;;;;;;;;;;254;7
San Secondo di Pinerolo;17;11;10;457;285;84;94;420;5;10;113;35;53;502;;;;;;;;;;;;;;;;;;;667;19
Sant'Ambrogio di Torino;26;36;9;431;293;72;47;352;16;5;63;22;42;1130;;;;;;;;;;;;;;;;;;;813;18
Sant'Antonino di Susa;27;21;15;362;319;62;47;357;8;9;72;7;35;941;;;;;;;;;;;;;;;;;;;828;16
Sauze di Cesana;26;0;0;73;49;18;8;21;0;1;0;0;1;73;;;;;;;;;;;;;;;;;;;-90;1
Sauze d'Oulx;6;1;5;162;100;53;20;77;3;2;11;1;4;100;;;;;;;;;;;;;;;;;;;263;8
Sestriere;33;0;6;216;99;44;17;69;2;2;5;3;4;132;;;;;;;;;;;;;;;;;;;35;8
Susa;28;8;21;646;489;149;74;453;6;14;97;19;49;1378;;;;;;;;;;;;;;;;;;;1264;31
Torre Pellice;18;7;6;369;256;75;180;540;18;14;207;10;110;528;;;;;;;;;;;;;;;;;;;1069;48
Trana;18;5;8;492;366;95;67;377;7;5;63;10;21;683;;;;;;;;;;;;;;;;;;;662;18
Usseaux;1;0;0;35;21;4;4;12;0;1;4;0;0;18;;;;;;;;;;;;;;;;;;;50;1
Vaie;13;4;7;141;67;33;19;93;3;3;20;6;22;350;;;;;;;;;;;;;;;;;;;292;9
Val Della Torre;23;11;6;484;314;59;79;335;13;2;80;14;21;753;;;;;;;;;;;;;;;;;;;741;21
Valgioie;5;5;1;124;88;12;16;66;1;0;18;1;8;163;;;;;;;;;;;;;;;;;;;180;1
Venaus;2;1;2;89;28;4;5;52;2;1;5;1;2;303;;;;;;;;;;;;;;;;;;;160;8
Villafranca Piemonte;17;11;22;887;508;106;61;398;10;14;72;8;20;581;;;;;;;;;;;;;;;;;;;772;51
Villarbasse;10;17;7;372;283;114;131;504;8;5;61;5;24;522;;;;;;;;;;;;;;;;;;;532;12
Villar Dora;11;11;2;317;238;80;61;243;5;5;65;6;19;621;;;;;;;;;;;;;;;;;;;478;12
Villar Focchiardo;17;5;2;261;145;39;27;135;2;3;38;7;18;478;;;;;;;;;;;;;;;;;;;399;15
Villar Pellice;5;4;0;134;44;9;15;145;1;7;46;7;17;105;;;;;;;;;;;;;;;;;;;266;12
Villar Perosa;10;15;12;476;237;51;54;365;6;4;119;19;30;712;;;;;;;;;;;;;;;;;;;829;35
Albera Ligure;1;0;2;55;34;11;3;20;1;1;7;2;3;23;2;;;;;;;;;;;;;;;;;;85;2
Alessandria;345;141;969;12135;6807;1880;1387;8254;278;124;1600;133;461;11005;236;;;;;;;;;;;;;;;;;;20532;333
Alluvioni Piovera;10;5;3;313;222;38;22;158;3;3;24;1;7;205;12;;;;;;;;;;;;;;;;;;301;10
Alzano Scrivia;5;0;3;53;52;8;4;24;2;0;0;0;0;60;1;;;;;;;;;;;;;;;;;;64;3
Arquata Scrivia;37;7;11;809;368;83;67;655;26;15;142;4;106;1161;13;;;;;;;;;;;;;;;;;;1220;41
Avolasca;1;1;1;31;20;1;6;30;2;0;9;0;2;32;0;;;;;;;;;;;;;;;;;;76;4
Basaluzzo;16;1;2;333;192;48;17;142;9;3;38;2;3;366;7;;;;;;;;;;;;;;;;;;401;17
Belforte Monferrato;6;1;0;54;23;10;4;60;1;0;39;4;6;96;1;;;;;;;;;;;;;;;;;;79;4
Berzano di Tortona;1;0;0;31;21;2;2;9;3;0;2;0;2;17;0;;;;;;;;;;;;;;;;;;24;1
Borghetto di Borbera;14;1;4;387;115;42;27;180;5;3;33;0;11;331;8;;;;;;;;;;;;;;;;;;364;10
Borgoratto Alessandrino;4;3;3;69;58;15;4;39;1;1;22;2;3;110;3;;;;;;;;;;;;;;;;;;93;6
Bosco Marengo;6;1;13;350;259;40;20;196;5;5;31;3;11;363;3;;;;;;;;;;;;;;;;;;450;16
Bosio;2;1;5;147;76;18;14;95;3;2;26;1;10;185;2;;;;;;;;;;;;;;;;;;284;4
Brignano Frascata;4;0;1;64;40;6;4;55;0;1;13;0;2;51;0;;;;;;;;;;;;;;;;;;102;4
Cabella Ligure;2;1;2;84;33;9;2;42;7;1;4;0;4;41;1;;;;;;;;;;;;;;;;;;149;7
Cantalupo Ligure;3;0;3;89;47;7;2;44;3;1;4;0;3;62;1;;;;;;;;;;;;;;;;;;114;2
Capriata d'Orba;5;1;5;327;118;42;25;170;1;1;40;4;9;292;5;;;;;;;;;;;;;;;;;;366;8
Carbonara Scrivia;8;0;1;186;78;16;13;106;2;1;11;2;2;171;1;;;;;;;;;;;;;;;;;;190;7
Carezzano;3;0;5;56;41;15;8;32;2;1;20;1;3;54;1;;;;;;;;;;;;;;;;;;91;6
Carpeneto;3;0;3;114;81;15;11;79;1;1;31;2;2;183;4;;;;;;;;;;;;;;;;;;216;12
Carrega Ligure;0;0;0;7;5;0;0;2;1;0;2;0;5;12;0;;;;;;;;;;;;;;;;;;38;2
Carrosio;0;0;1;69;23;8;12;49;1;0;14;0;2;87;2;;;;;;;;;;;;;;;;;;179;5
Casal Cermelli;11;1;4;182;161;26;16;97;1;2;10;4;2;128;6;;;;;;;;;;;;;;;;;;249;7
Casaleggio Boiro;0;1;0;46;26;3;10;48;0;1;5;0;6;61;1;;;;;;;;;;;;;;;;;;80;5
Casalnoceto;6;0;2;158;94;13;9;82;0;2;11;2;3;107;1;;;;;;;;;;;;;;;;;;193;6
Casasco;0;1;0;13;9;1;1;15;0;0;1;0;0;16;0;;;;;;;;;;;;;;;;;;42;0
Cassano Spinola;7;2;14;212;148;39;17;221;12;4;39;4;7;320;4;;;;;;;;;;;;;;;;;;385;16
Castellania;1;0;0;17;10;0;1;9;0;0;2;0;3;13;0;;;;;;;;;;;;;;;;;;20;0
Castellar Guidobono;6;0;3;65;58;19;3;35;3;1;2;1;3;53;1;;;;;;;;;;;;;;;;;;50;2
Castellazzo Bormida;11;6;24;570;354;86;53;480;7;10;72;13;11;618;10;;;;;;;;;;;;;;;;;;988;30
Castelletto d'Orba;5;9;10;226;153;39;16;168;1;3;133;4;10;309;5;;;;;;;;;;;;;;;;;;420;15
Castelnuovo Bormida;0;1;4;92;54;20;1;46;0;3;9;3;0;104;1;;;;;;;;;;;;;;;;;;155;9
Castelnuovo Scrivia;20;6;22;949;553;115;41;424;9;13;81;5;7;664;16;;;;;;;;;;;;;;;;;;1014;39
Castelspina;2;1;5;49;26;6;7;55;2;0;3;3;1;71;0;;;;;;;;;;;;;;;;;;83;5
Cerreto Grue;5;0;2;75;22;10;2;9;0;0;4;1;1;60;3;;;;;;;;;;;;;;;;;;55;1
Costa Vescovato;5;0;0;38;22;3;5;29;0;0;9;1;7;34;0;;;;;;;;;;;;;;;;;;94;1
Cremolino;4;2;1;130;69;16;15;118;2;1;35;0;5;217;5;;;;;;;;;;;;;;;;;;210;7
Dernice;0;0;1;23;21;2;5;22;0;0;1;0;0;31;0;;;;;;;;;;;;;;;;;;61;2
Fabbrica Curone;5;0;1;86;73;7;4;60;0;1;9;1;3;51;1;;;;;;;;;;;;;;;;;;184;2
Fraconalto;3;0;4;49;15;2;4;33;0;0;6;1;9;49;0;;;;;;;;;;;;;;;;;;96;4
Francavilla Bisio;11;1;2;88;45;11;5;38;0;0;5;2;0;87;2;;;;;;;;;;;;;;;;;;103;5
Frascaro;1;1;1;63;26;6;7;51;1;3;7;1;1;58;1;;;;;;;;;;;;;;;;;;83;1
Fresonara;4;1;2;76;64;16;7;58;0;1;7;0;2;163;1;;;;;;;;;;;;;;;;;;133;2
Frugarolo;12;1;11;304;197;42;20;216;4;5;32;2;5;288;9;;;;;;;;;;;;;;;;;;383;10
Gamalero;5;0;3;103;41;10;15;62;3;1;25;2;10;135;4;;;;;;;;;;;;;;;;;;199;9
Garbagna;3;5;1;123;67;12;6;42;0;3;11;1;4;79;1;;;;;;;;;;;;;;;;;;158;3
Gavi;32;14;14;707;324;82;87;442;9;7;89;1;27;743;13;;;;;;;;;;;;;;;;;;855;42
Gremiasco;1;0;3;40;33;3;3;26;2;2;5;0;3;39;0;;;;;;;;;;;;;;;;;;87;3
Grondona;2;0;2;57;18;12;13;85;1;1;23;0;4;80;1;;;;;;;;;;;;;;;;;;94;5
Guazzora;2;2;0;33;52;4;3;26;1;1;9;0;3;39;1;;;;;;;;;;;;;;;;;;59;1
Isola Sant'Antonio;3;1;1;116;86;20;2;58;1;0;5;2;1;77;2;;;;;;;;;;;;;;;;;;146;7
Lerma;3;0;0;114;67;20;6;116;0;0;23;1;2;144;2;;;;;;;;;;;;;;;;;;191;2
Molare;5;6;7;252;125;51;35;196;4;5;103;1;18;390;4;;;;;;;;;;;;;;;;;;436;12
Molino dei Torti;3;0;5;102;78;12;4;42;4;1;8;0;4;72;0;;;;;;;;;;;;;;;;;;107;12
Momperone;1;0;0;35;15;6;4;27;0;0;7;0;6;27;0;;;;;;;;;;;;;;;;;;44;0
Mongiardino Ligure;2;0;1;29;11;4;1;10;0;0;2;0;2;19;0;;;;;;;;;;;;;;;;;;54;2
Monleale;5;0;2;90;66;7;12;56;0;0;6;0;6;58;1;;;;;;;;;;;;;;;;;;112;6
Montacuto;1;0;2;38;27;6;5;25;0;0;5;0;0;43;1;;;;;;;;;;;;;;;;;;77;2
Montaldeo;1;0;0;24;10;4;8;34;0;0;6;0;2;28;2;;;;;;;;;;;;;;;;;;91;0
Montaldo Bormida;1;0;8;100;49;9;4;68;3;0;15;1;0;85;3;;;;;;;;;;;;;;;;;;139;8
Montecastello;1;0;2;35;14;11;3;33;0;0;5;0;5;39;7;;;;;;;;;;;;;;;;;;77;0
Montegioco;4;0;0;47;49;4;2;8;1;0;4;2;0;47;3;;;;;;;;;;;;;;;;;;60;1
Montemarzino;4;0;0;43;47;7;6;30;1;0;4;0;0;36;0;;;;;;;;;;;;;;;;;;67;2
Mornese;2;10;5;107;66;10;15;62;2;1;26;1;6;110;1;;;;;;;;;;;;;;;;;;161;7
Novi Ligure;101;35;80;3295;1863;483;424;2901;82;36;573;24;127;4427;71;;;;;;;;;;;;;;;;;;5934;124
Ovada;26;26;35;1225;741;200;192;1609;33;21;436;12;44;1666;27;;;;;;;;;;;;;;;;;;2275;73
Paderna;1;0;1;34;15;7;5;24;2;4;3;1;3;25;0;;;;;;;;;;;;;;;;;;35;1
Parodi Ligure;4;1;3;66;41;7;6;75;2;1;18;0;3;126;2;;;;;;;;;;;;;;;;;;165;4
Pasturana;13;0;0;203;87;36;36;148;8;1;31;2;7;232;0;;;;;;;;;;;;;;;;;;215;13
Pietra Marazzi;7;1;6;151;73;18;18;110;2;5;21;4;13;153;2;;;;;;;;;;;;;;;;;;259;5
Pontecurone;46;5;22;466;299;37;29;436;3;7;59;5;5;537;6;;;;;;;;;;;;;;;;;;680;20
Pozzol Groppo;5;1;6;47;29;17;12;33;0;0;11;0;4;38;3;;;;;;;;;;;;;;;;;;56;3
Pozzolo Formigaro;45;2;17;678;383;92;51;364;7;3;65;4;18;947;6;;;;;;;;;;;;;;;;;;941;21
Predosa;5;0;7;241;166;31;16;244;4;8;48;3;2;300;6;;;;;;;;;;;;;;;;;;415;11
Rivalta Bormida;4;1;6;203;142;30;14;160;2;4;70;4;5;192;6;;;;;;;;;;;;;;;;;;265;8
Roccaforte Ligure;1;1;0;21;7;1;2;15;0;0;3;1;0;15;0;;;;;;;;;;;;;;;;;;41;1
Rocca Grimalda;10;1;3;176;108;24;26;179;4;3;42;4;9;257;5;;;;;;;;;;;;;;;;;;312;6
Rocchetta Ligure;0;0;3;40;15;2;0;13;0;0;4;1;3;20;2;;;;;;;;;;;;;;;;;;49;2
Sale;34;1;19;620;405;83;36;333;3;6;43;2;17;431;10;;;;;;;;;;;;;;;;;;953;29
San Cristoforo;4;1;0;69;45;13;11;64;1;1;37;0;3;94;0;;;;;;;;;;;;;;;;;;135;4
San Sebastiano Curone;4;0;2;66;35;12;5;48;2;1;2;0;13;64;0;;;;;;;;;;;;;;;;;;101;3
Sant'Agata Fossili;2;0;1;69;20;10;0;31;1;1;3;0;2;86;0;;;;;;;;;;;;;;;;;;92;7
Sardigliano;4;0;0;51;16;4;9;37;1;1;8;0;3;83;2;;;;;;;;;;;;;;;;;;101;3
Sarezzano;11;2;4;177;106;39;12;97;1;3;15;2;8;171;5;;;;;;;;;;;;;;;;;;214;4
Serravalle Scrivia;39;4;19;652;340;76;54;455;81;4;105;4;35;835;11;;;;;;;;;;;;;;;;;;1237;26
Sezzadio;8;4;9;180;113;24;15;113;0;0;14;2;1;168;9;;;;;;;;;;;;;;;;;;266;14
Silvano d'Orba;8;2;6;237;142;33;13;221;3;2;69;3;7;363;5;;;;;;;;;;;;;;;;;;408;15
Spineto Scrivia;1;0;2;56;28;4;5;33;0;0;14;0;0;46;1;;;;;;;;;;;;;;;;;;65;4
Stazzano;11;3;4;361;140;39;31;222;11;7;59;4;6;414;6;;;;;;;;;;;;;;;;;;538;18
Tagliolo Monferrato;7;0;3;144;133;29;17;274;6;3;47;1;7;263;6;;;;;;;;;;;;;;;;;;277;9
Tassarolo;11;0;2;98;52;9;13;51;3;0;14;0;2;95;2;;;;;;;;;;;;;;;;;;142;8
Tortona;291;51;111;3677;2384;549;385;2251;42;65;424;24;110;3254;72;;;;;;;;;;;;;;;;;;5468;144
Trisobbio;3;0;3;74;57;19;10;76;1;2;18;2;2;124;0;;;;;;;;;;;;;;;;;;139;8
Vignole Borbera;12;2;10;308;136;56;13;220;3;3;26;1;9;340;9;;;;;;;;;;;;;;;;;;446;9
Viguzzolo;31;4;10;558;274;84;43;266;8;5;54;1;7;425;6;;;;;;;;;;;;;;;;;;539;23
Villalvernia;6;0;4;129;91;29;12;59;3;1;11;0;5;167;4;;;;;;;;;;;;;;;;;;141;3
Villaromagnano;4;2;7;132;95;16;6;73;0;3;8;0;1;79;0;;;;;;;;;;;;;;;;;;120;5
Volpedo;7;7;3;169;111;34;26;99;2;0;25;1;3;142;6;;;;;;;;;;;;;;;;;;235;11
Volpeglino;0;0;0;13;25;2;7;14;0;0;2;0;0;24;0;;;;;;;;;;;;;;;;;;26;0
Voltaggio;2;2;3;90;40;9;14;140;2;2;17;0;8;92;1;;;;;;;;;;;;;;;;;;159;5
Acqui Terme;100;24;68;2774;1604;380;280;1825;24;31;480;14;80;2879;53;;;;;;;;;;;;;;;;;;4333;131
Alice bel Colle;3;0;3;132;83;13;13;81;2;1;12;1;1;75;5;;;;;;;;;;;;;;;;;;147;8
Bistagno;13;1;8;315;151;33;25;136;2;5;27;1;10;257;4;;;;;;;;;;;;;;;;;;367;19
Cartosio;2;5;3;92;51;19;3;58;0;1;61;0;4;93;3;;;;;;;;;;;;;;;;;;143;10
Cassine;11;3;11;442;274;53;39;227;7;3;72;4;9;368;4;;;;;;;;;;;;;;;;;;658;15
Cassinelle;5;1;1;90;58;12;21;98;0;2;24;1;6;183;5;;;;;;;;;;;;;;;;;;196;1
Castelletto d'Erro;1;0;0;20;17;3;4;16;0;0;4;0;1;26;1;;;;;;;;;;;;;;;;;;36;0
Cavatore;0;0;0;40;17;3;9;16;0;1;3;0;0;40;0;;;;;;;;;;;;;;;;;;83;2
Denice;0;0;0;28;12;8;3;17;0;0;9;1;4;19;4;;;;;;;;;;;;;;;;;;29;2
Grognardo;0;1;0;39;15;6;4;21;0;0;4;1;0;41;0;;;;;;;;;;;;;;;;;;66;2
Malvicino;1;0;0;13;11;1;0;5;0;0;5;0;0;20;0;;;;;;;;;;;;;;;;;;10;1
Melazzo;8;2;1;223;87;32;12;86;2;1;31;0;4;225;2;;;;;;;;;;;;;;;;;;289;6
Merana;0;0;1;27;12;2;3;22;0;0;1;0;1;26;2;;;;;;;;;;;;;;;;;;39;0
Montechiaro d'Acqui;2;1;0;111;43;6;4;47;3;0;10;0;1;64;0;;;;;;;;;;;;;;;;;;114;10
Morbello;0;2;1;44;32;4;4;38;2;0;12;0;4;63;3;;;;;;;;;;;;;;;;;;129;4
Morsasco;4;0;3;92;39;19;15;85;3;0;21;2;5;126;0;;;;;;;;;;;;;;;;;;121;4
Orsara Bormida;1;2;2;56;34;10;8;33;1;1;5;1;2;71;0;;;;;;;;;;;;;;;;;;90;6
Pareto;5;0;3;81;40;4;8;27;2;1;25;0;4;64;2;;;;;;;;;;;;;;;;;;177;5
Ponti;3;3;3;122;60;10;16;51;0;1;13;0;8;41;3;;;;;;;;;;;;;;;;;;145;4
Ponzone;1;0;3;122;62;6;7;74;0;2;23;4;2;184;3;;;;;;;;;;;;;;;;;;343;5
Prasco;4;3;1;79;36;3;1;30;1;0;19;0;4;109;0;;;;;;;;;;;;;;;;;;112;5
Ricaldone;1;0;3;88;48;11;5;79;0;0;4;1;1;70;0;;;;;;;;;;;;;;;;;;124;5
Spigno Monferrato;5;1;4;161;58;21;14;91;1;2;31;1;5;137;4;;;;;;;;;;;;;;;;;;258;14
Strevi;11;12;2;240;147;36;17;161;4;0;24;3;8;291;3;;;;;;;;;;;;;;;;;;418;20
Terzo;5;1;0;157;74;15;13;72;0;1;23;3;3;149;6;;;;;;;;;;;;;;;;;;158;5
Visone;6;5;2;170;78;23;18;125;0;1;23;1;5;158;1;;;;;;;;;;;;;;;;;;267;4
Agliano Terme;9;3;2;297;125;47;18;144;3;5;14;5;5;204;7;;;;;;;;;;;;;;;;;;296;15
Albugnano;2;1;3;46;33;9;15;49;1;0;13;1;4;58;2;;;;;;;;;;;;;;;;;;152;3
Antignano;7;3;4;175;92;24;22;96;1;0;15;3;3;114;5;;;;;;;;;;;;;;;;;;210;9
Aramengo;2;0;1;76;33;14;12;51;0;4;15;3;6;84;2;;;;;;;;;;;;;;;;;;147;0
Asti;275;304;237;8581;5107;1618;1271;7154;146;225;1452;177;423;9770;177;;;;;;;;;;;;;;;;;;16918;350
Azzano d'Asti;0;0;4;55;29;14;4;48;2;2;16;0;1;48;1;;;;;;;;;;;;;;;;;;65;1
Baldichieri d'Asti;9;2;6;142;72;27;14;114;2;7;10;3;5;113;3;;;;;;;;;;;;;;;;;;220;7
Belveglio;2;0;1;32;28;5;3;29;0;1;10;0;5;54;4;;;;;;;;;;;;;;;;;;43;2
Berzano di san Pietro;0;2;2;44;22;7;11;30;0;1;5;1;15;68;2;;;;;;;;;;;;;;;;;;83;0
Bruno;0;0;2;45;28;5;8;54;0;0;11;0;2;40;1;;;;;;;;;;;;;;;;;;60;1
Bubbio;3;2;5;176;66;16;16;63;2;2;10;2;6;106;3;;;;;;;;;;;;;;;;;;156;10
Buttigliera d'Asti;10;12;6;393;227;66;55;252;5;8;30;3;20;430;3;;;;;;;;;;;;;;;;;;408;17
Calamandrana;2;8;7;267;166;29;32;128;2;7;58;4;9;220;3;;;;;;;;;;;;;;;;;;338;11
Calliano;16;12;5;429;179;58;42;289;4;16;32;3;21;496;6;;;;;;;;;;;;;90;;;;;291;8
Calosso;2;4;4;186;132;26;11;116;0;4;20;2;3;122;7;;;;;;;;;;;;;;;;;;238;13
Camerano Casasco;0;0;0;82;29;9;9;53;1;0;4;0;1;54;0;;;;;;;;;;;;;;;;;;90;2
Canelli;35;19;33;1515;787;205;176;750;9;42;95;48;40;1133;30;;;;;;;;;;;;;;;;;;2051;61
Cantarana;11;2;2;140;89;26;16;113;2;1;19;10;0;153;3;;;;;;;;;;;;;;;;;;130;11
Capriglio;0;1;0;55;23;5;7;20;0;0;4;3;5;46;0;;;;;;;;;;;;;;;;;;37;1
Casorzo;2;2;2;109;40;8;69;2;10;4;7;0;1;66;2;;;;;;;;;;;;;;;;;;157;6
Cassinasco;1;1;4;100;41;14;4;39;1;2;8;0;1;81;1;;;;;;;;;;;;;;;;;;117;7
Castagnole Delle Lanze;14;14;13;658;296;107;63;313;4;9;41;9;8;401;18;;;;;;;;;;;;;;;;;;754;27
Castagnole Monferrato;8;1;3;166;94;14;11;119;3;1;31;3;7;138;5;;;;;;;;;;;;;;;;;;291;11
Castel Boglione;5;2;3;104;64;11;9;28;1;0;7;0;2;57;1;;;;;;;;;;;;;;;;;;160;3
Castell'Alfero;9;22;8;404;218;72;48;298;7;6;60;15;8;382;4;;;;;;;;;;;;;;;;;;532;13
Castellero;1;0;0;47;28;8;6;34;0;0;3;3;1;42;3;;;;;;;;;;;;;;;;;;49;1
Castelletto Molina;3;1;0;29;8;7;2;13;0;0;1;0;0;18;0;;;;;;;;;;;;;;;;;;30;1
Castello di Annone;11;7;8;226;112;34;24;178;3;3;40;3;10;245;12;;;;;;;;;;;;;;;;;;383;17
Castelnuovo Belbo;2;1;1;135;78;9;11;85;0;2;18;4;5;90;3;;;;;;;;;;;;;;;;;;192;6
