RegioNaam;@invalid;@blank;PvdA;KVP;VVD;ARP;D66;CHU;Democratisch Socialisten '70;Communistische Partij van Nederland;SGP;Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Nederlandse Middenstands Partij;Pacifistisch-Socialistische Partij (PSP);Boeren Partij;Algemene Bejaarden Partij Nederland;Nederlands Appel;Nieuwe Roomse Partij;Kabouters;Bejaarden en Arbeidspartij;Binding Rechts;Democraten 2000;Bejaardenpartij 65+;Lijst van Velzen;Bejaarden Partij Algemeen Belang;Stichting Gedupeerde Groepen 18+ t/m 65;Landelijke Partij van Bejaarden;Partij van het Recht;Positief Sociaal Democraten;@abs
Haelen-G0914;27;;169;1425.0;131;35;134;10.0;115;9.0;1.0;19.0;;28.0;19.0;59.0;6.0;5.0;29.0;8.0;10.0;6.0;2.0;;2.0;;1.0;;;;732
Hagestein-G0522;3;;66;175.0;51;37;16;112.0;21;3.0;105.0;9.0;1.0;3.0;;11.0;1.0;2.0;1.0;;1.0;;;1.0;;;;;;;83
Halsteren-G0789;65;;602;1689.0;292;244;318;127.0;190;52.0;33.0;110.0;19.0;68.0;29.0;175.0;33.0;24.0;24.0;11.0;33.0;3.0;11.0;;2.0;;;;;;2315
Haps-G0790;11;;48;930.0;21;11;38;2.0;23;3.0;1.0;8.0;;16.0;4.0;23.0;7.0;;2.0;;2.0;;1.0;;;;;;;;243
Hardenberg-G0160;34;;2435;1102.0;560;3235;231;2543.0;269;45.0;30.0;74.0;1813.0;133.0;37.0;212.0;27.0;9.0;13.0;10.0;13.0;157.0;4.0;;3.0;;;;;;1449
Harderwijk-G0243;53;;1407;631.0;1432;2026;541;2712.0;795;89.0;1034.0;202.0;479.0;157.0;67.0;232.0;45.0;69.0;9.0;20.0;21.0;35.0;9.0;;8.0;;;;;;2457
Hardinxveld-Giessendam-G0523;33;;1967;62.0;535;963;324;558.0;197;114.0;1636.0;17.0;444.0;57.0;41.0;95.0;12.0;21.0;4.0;4.0;11.0;7.0;3.0;9.0;;;3.0;;;;1590
Haren-G0017;41;;2042;352.0;2379;1460;532;883.0;682;202.0;14.0;107.0;365.0;222.0;170.0;51.0;26.0;44.0;19.0;10.0;14.0;19.0;5.0;;2.0;;;;;;1383
Harenkarspel-G0395;21;;284;1340.0;156;82;102;20.0;77;25.0;2.0;27.0;16.0;31.0;21.0;23.0;2.0;;1.0;9.0;3.0;1.0;1.0;;11.0;;;;;;425
Harlingen-G0072;60;;2403;590.0;441;639;288;666.0;236;201.0;23.0;57.0;333.0;125.0;97.0;26.0;18.0;12.0;38.0;11.0;22.0;4.0;6.0;;;;;;;;1544
Harmelen-G0318;11;;203;729.0;278;266;110;351.0;149;18.0;104.0;39.0;32.0;40.0;11.0;46.0;4.0;7.0;18.0;2.0;2.0;9.0;1.0;;1.0;;1.0;1.0;;;618
Haskerland-G0073;33;;2113;627.0;364;906;285;1174.0;149;109.0;47.0;166.0;93.0;148.0;66.0;76.0;5.0;11.0;20.0;10.0;18.0;11.0;13.0;;;;;;;;1293
Hasselt-G0161;7;;438;108.0;94;555;73;415.0;90;14.0;250.0;14.0;263.0;33.0;9.0;48.0;5.0;6.0;;3.0;;3.0;1.0;;;;;;;;478
Hattem-G0244;25;;1818;254.0;536;608;178;1139.0;219;73.0;88.0;30.0;610.0;52.0;33.0;30.0;9.0;15.0;2.0;6.0;2.0;6.0;1.0;;5.0;;;;;;614
Havelte-G0117;29;;1315;35.0;626;130;98;137.0;155;21.0;5.0;10.0;18.0;48.0;12.0;58.0;10.0;11.0;2.0;6.0;14.0;3.0;8.0;;;;;;;;481
Hazerswoude-G0524;18;;388;1151.0;521;756;235;436.0;209;43.0;223.0;66.0;67.0;64.0;41.0;35.0;13.0;10.0;7.0;6.0;4.0;3.0;5.0;;;;;;;;870
Hedel-G0245;12;;175;447.0;47;116;47;120.0;50;11.0;185.0;14.0;27.0;44.0;6.0;27.0;4.0;8.0;4.0;4.0;6.0;3.0;2.0;;;;;;;;372
Heel en Panheel-G0915;45;;102;954.0;91;18;78;9.0;62;6.0;1.0;13.0;1.0;19.0;10.0;18.0;5.0;7.0;11.0;3.0;2.0;2.0;3.0;;1.0;;2.0;;;;817
Heemskerk-G0396;67;;2677;3586.0;743;746;1244;406.0;843;428.0;33.0;528.0;96.0;149.0;213.0;59.0;17.0;21.0;46.0;47.0;20.0;12.0;17.0;;9.0;9.0;2.0;5.0;;;2855
Heemstede-G0397;66;;1767;3192.0;3957;1093;932;623.0;1152;173.0;46.0;242.0;168.0;253.0;226.0;104.0;41.0;130.0;78.0;31.0;17.0;9.0;18.0;;6.0;10.0;3.0;9.0;;;2975
Heenvliet-G0525;9;;467;33.0;197;81;158;78.0;68;68.0;25.0;10.0;11.0;10.0;18.0;6.0;3.0;5.0;1.0;7.0;3.0;;2.0;;1.0;;;;;;221
Heerde-G0246;34;;2618;74.0;655;1165;219;1796.0;270;30.0;403.0;65.0;398.0;85.0;67.0;214.0;21.0;22.0;2.0;10.0;19.0;78.0;5.0;;3.0;;;;;;1312
Heerenveen-G0074;161;;6047;521.0;1791;1913;816;1120.0;669;1805.0;49.0;196.0;290.0;299.0;349.0;197.0;37.0;31.0;22.0;40.0;62.0;45.0;37.0;;5.0;;;;;;3552
Heerewaarden-G0247;10;;372;17.0;81;30;26;20.0;29;2.0;5.0;3.0;1.0;13.0;9.0;9.0;4.0;;;;3.0;3.0;;;1.0;;;;;;99
Heerhugowaard-G0398;26;;1344;2898.0;669;509;838;134.0;547;171.0;9.0;150.0;42.0;78.0;99.0;52.0;7.0;10.0;35.0;43.0;6.0;7.0;22.0;;2.0;;;;;;1599
Heerjansdam-G0526;4;;415;43.0;190;251;152;278.0;63;19.0;86.0;14.0;13.0;30.0;11.0;6.0;;3.0;;5.0;1.0;2.0;;3.0;;;1.0;;;;295
Heerlen-G0917;472;;6127;13565.0;1874;802;2499;364.0;1261;2192.0;16.0;870.0;77.0;281.0;439.0;306.0;231.0;91.0;506.0;127.0;128.0;42.0;56.0;;15.0;;24.0;;;;12378
Heesch-G0791;23;;412;2085.0;96;37;103;25.0;48;22.0;;42.0;5.0;31.0;20.0;78.0;5.0;31.0;16.0;10.0;8.0;4.0;6.0;;2.0;;;;;;909
Heeswijk-Dinther-G0792;23;;193;2349.0;63;41;117;24.0;55;14.0;1.0;29.0;1.0;34.0;17.0;49.0;7.0;7.0;18.0;6.0;5.0;4.0;2.0;;2.0;;;;;;536
Heeze-G0793;16;;270;1852.0;309;99;197;47.0;123;31.0;2.0;68.0;8.0;85.0;35.0;89.0;14.0;5.0;34.0;4.0;16.0;1.0;3.0;;2.0;;;;;;860
Hei- en Boeicop-G0527;2;;37;1.0;17;134;8;79.0;5;;117.0;2.0;10.0;4.0;1.0;27.0;;;;;1.0;3.0;;1.0;;;;;;;62
Heiloo-G0399;57;;1627;2513.0;1951;471;620;245.0;762;188.0;19.0;222.0;46.0;146.0;110.0;81.0;35.0;41.0;45.0;46.0;12.0;11.0;13.0;;4.0;;;;;;1912
Heinenoord-G0528;3;;467;31.0;177;245;108;159.0;37;15.0;143.0;17.0;45.0;24.0;3.0;16.0;3.0;3.0;;8.0;;;5.0;1.0;;;1.0;;;;246
Heino-G0162;8;;339;1045.0;137;124;72;502.0;86;6.0;16.0;41.0;113.0;70.0;23.0;26.0;5.0;3.0;2.0;1.0;5.0;1.0;2.0;;;;;;;;424
Helden-G0918;52;;287;4257.0;137;68;176;6.0;169;17.0;2.0;70.0;6.0;26.0;38.0;65.0;19.0;12.0;41.0;14.0;16.0;8.0;2.0;;2.0;;4.0;;;;1658
Hellendoorn-G0163;61;;2602;3366.0;600;2443;414;3494.0;484;91.0;187.0;137.0;521.0;194.0;59.0;364.0;40.0;27.0;17.0;11.0;19.0;40.0;7.0;;4.0;;;;;;2104
Hellevoetsluis-G0530;28;;2272;196.0;668;333;525;201.0;220;119.0;62.0;41.0;22.0;78.0;40.0;29.0;7.0;7.0;2.0;13.0;14.0;5.0;8.0;11.0;2.0;;;;;;1148
Helmond-G0794;239;;4978;11504.0;1446;437;2118;181.0;1008;1692.0;21.0;467.0;39.0;359.0;371.0;237.0;108.0;72.0;71.0;122.0;127.0;26.0;32.0;;7.0;;;;;;8253
Helvoirt-G0795;16;;155;1033.0;153;35;73;30.0;44;9.0;1.0;37.0;4.0;52.0;28.0;41.0;8.0;8.0;8.0;8.0;20.0;2.0;12.0;;2.0;;;;;;378
Hemelumer Oldeferd-G0075;13;;310;69.0;133;512;62;909.0;51;11.0;25.0;17.0;80.0;104.0;10.0;31.0;6.0;1.0;1.0;3.0;3.0;17.0;3.0;;1.0;;;;;;359
Hendrik-Ido-Ambacht-G0531;1;;1544;272.0;1018;1037;636;676.0;226;79.0;909.0;61.0;140.0;61.0;49.0;88.0;7.0;21.0;8.0;5.0;6.0;10.0;5.0;12.0;9.0;;1.0;;;;1342
Hengelo-G0164;185;;10648;10251.0;2887;1892;2241;1673.0;1932;1068.0;77.0;510.0;561.0;643.0;400.0;320.0;160.0;88.0;100.0;65.0;60.0;41.0;33.0;;12.0;;;;;;7069
Hengelo-G0248;17;;731;1252.0;271;476;122;432.0;104;10.0;25.0;35.0;23.0;65.0;11.0;75.0;7.0;4.0;6.0;6.0;14.0;49.0;2.0;;1.0;;1.0;;;;751
Hennaarderadeel-G0076;10;;353;104.0;168;520;52;867.0;26;11.0;11.0;36.0;47.0;48.0;16.0;16.0;4.0;8.0;3.0;1.0;1.0;8.0;7.0;;2.0;;;;;;347
Hensbroek-G0401;3;;96;305.0;65;8;26;4.0;36;16.0;;2.0;;14.0;7.0;8.0;3.0;2.0;6.0;3.0;4.0;1.0;7.0;;;;;;;;121
Herten-G0919;24;;184;940.0;110;17;109;12.0;106;6.0;1.0;27.0;1.0;20.0;13.0;14.0;6.0;3.0;4.0;2.0;2.0;1.0;;;2.0;;;;;;465
Herwen en Aerdt-G0249;41;;507;1752.0;172;98;122;109.0;115;24.0;2.0;39.0;22.0;42.0;14.0;85.0;20.0;11.0;20.0;13.0;32.0;1.0;3.0;;2.0;;3.0;;;;1161
Herwijnen-G0250;3;;410;13.0;60;235;22;188.0;28;7.0;53.0;9.0;16.0;15.0;5.0;9.0;3.0;9.0;;2.0;;5.0;;;;;;;;;120
Het Bildt-G0063;38;;1350;22.0;416;1430;117;540.0;124;119.0;10.0;30.0;90.0;105.0;77.0;16.0;8.0;7.0;3.0;8.0;14.0;3.0;6.0;;1.0;;;;;;640
Heteren-G0251;22;;445;1372.0;134;262;112;214.0;99;32.0;205.0;38.0;41.0;55.0;17.0;28.0;10.0;1.0;14.0;12.0;5.0;4.0;1.0;;1.0;;;;;;735
Heukelum-G0533;7;;508;12.0;125;158;27;168.0;27;12.0;34.0;3.0;14.0;8.0;4.0;18.0;1.0;15.0;;3.0;4.0;;2.0;1.0;;;;;;;248
Heumen-G0252;11;;269;1480.0;189;69;183;29.0;114;14.0;;43.0;16.0;50.0;36.0;44.0;17.0;8.0;19.0;9.0;12.0;7.0;3.0;;1.0;;4.0;;;;593
Heusden-G0797;25;;288;754.0;135;185;126;117.0;76;28.0;42.0;27.0;26.0;40.0;29.0;30.0;11.0;3.0;10.0;13.0;5.0;;3.0;;;;;;;;754
Heythuysen-G0920;37;;123;1382.0;76;10;72;7.0;58;3.0;1.0;26.0;2.0;22.0;15.0;40.0;6.0;9.0;58.0;6.0;1.0;5.0;4.0;;1.0;;;;;;586
Hillegom-G0534;51;;1362;3029.0;825;677;544;538.0;535;87.0;67.0;169.0;71.0;160.0;131.0;57.0;15.0;19.0;84.0;8.0;18.0;5.0;10.0;;1.0;;1.0;;;;2002
Hilvarenbeek-G0798;32;;339;2194.0;183;65;140;53.0;101;27.0;5.0;58.0;5.0;39.0;38.0;91.0;28.0;7.0;24.0;17.0;21.0;3.0;7.0;;2.0;;;;;;747
Hilversum-G0402;308;;11797;7105.0;7790;4438;4255;2859.0;3832;1864.0;668.0;1182.0;746.0;574.0;1057.0;351.0;643.0;361.0;187.0;193.0;164.0;70.0;52.0;;24.0;159.0;8.0;31.0;;;14287
Hindeloopen-G0077;7;;206;;9;67;12;102.0;14;15.0;;17.0;10.0;7.0;5.0;3.0;2.0;1.0;1.0;;;1.0;2.0;;;;;;;;56
Hoensbroek-G0921;129;;2244;3105.0;351;213;698;76.0;304;524.0;5.0;806.0;26.0;96.0;150.0;119.0;50.0;32.0;98.0;56.0;52.0;24.0;22.0;;2.0;;11.0;;;;3846
Hoevelaken-G0253;11;;513;242.0;380;250;153;453.0;166;16.0;236.0;35.0;63.0;54.0;16.0;42.0;4.0;8.0;;1.0;4.0;3.0;1.0;;;;;;;;523
Hoeven-G0799;47;;253;1566.0;119;52;115;12.0;78;19.0;1.0;217.0;4.0;36.0;26.0;109.0;18.0;10.0;2.0;6.0;75.0;2.0;4.0;;;;;;;;992
Holten-G0165;18;;954;127.0;594;564;110;1031.0;158;13.0;26.0;19.0;31.0;66.0;19.0;257.0;8.0;7.0;3.0;8.0;3.0;14.0;2.0;;1.0;;;;;;454
Hontenisse-G0675;48;;349;2380.0;183;63;108;52.0;52;22.0;8.0;525.0;17.0;93.0;13.0;100.0;18.0;5.0;18.0;10.0;17.0;9.0;2.0;;2.0;;;;;;1005
Hoogblokland-G0535;4;;198;11.0;116;198;18;21.0;10;5.0;39.0;2.0;3.0;2.0;2.0;7.0;3.0;2.0;;1.0;;;;2.0;;;;;;;65
Hooge en Lage Mierde-G0801;10;;74;1057.0;35;6;30;8.0;17;1.0;1.0;25.0;4.0;19.0;9.0;23.0;3.0;2.0;7.0;6.0;4.0;;;;;;;;;;231
Hooge en Lage Zwaluwe-G0802;17;;435;945.0;108;80;71;439.0;73;14.0;24.0;67.0;6.0;49.0;18.0;38.0;9.0;4.0;3.0;4.0;6.0;;10.0;;;;;;;;477
Hoogeloon, Hapert en Casteren-G0800;11;;165;1922.0;109;16;126;34.0;70;21.0;4.0;31.0;5.0;17.0;15.0;49.0;2.0;7.0;6.0;8.0;12.0;1.0;4.0;;;;;;;;594
Hoogeveen-G0118;128;;3950;348.0;1008;4955;740;2594.0;751;692.0;275.0;152.0;1024.0;248.0;116.0;387.0;43.0;31.0;14.0;25.0;60.0;29.0;19.0;;8.0;;;;;;3887
Hoogezand-Sappemeer-G0018;172;;5883;917.0;1603;1138;920;502.0;668;2363.0;14.0;115.0;345.0;260.0;318.0;104.0;43.0;16.0;34.0;43.0;66.0;12.0;14.0;;15.0;;;;;;4040
Hoogkarspel-G0403;8;;224;956.0;134;17;107;16.0;83;31.0;;59.0;3.0;34.0;27.0;22.0;6.0;2.0;57.0;7.0;3.0;1.0;5.0;;;;;;;;371
Hoogland-G0320;17;;234;1789.0;118;87;86;193.0;137;13.0;53.0;27.0;39.0;52.0;12.0;22.0;12.0;8.0;9.0;5.0;2.0;4.0;1.0;;;;;1.0;;;465
Hoogwoud-G0404;5;;282;684.0;179;29;45;27.0;55;32.0;2.0;8.0;2.0;16.0;20.0;17.0;6.0;2.0;24.0;2.0;3.0;4.0;4.0;;;;;;;;216
Hoorn-G0405;44;;2748;2620.0;1024;377;695;244.0;566;295.0;22.0;190.0;53.0;241.0;320.0;37.0;42.0;22.0;161.0;35.0;19.0;15.0;12.0;;9.0;;;;;;1962
Hoornaar-G0536;1;;147;2.0;118;168;15;51.0;22;4.0;39.0;2.0;11.0;3.0;;9.0;1.0;13.0;;;;1.0;;;;;;;;;77
Horn-G0922;12;;159;963.0;86;34;100;10.0;69;15.0;;33.0;4.0;26.0;2.0;21.0;3.0;5.0;17.0;3.0;3.0;2.0;2.0;;2.0;;1.0;;;;469
Horssen-G0254;3;;29;470.0;9;17;16;27.0;7;;4.0;4.0;;7.0;1.0;15.0;;;4.0;1.0;2.0;;;;1.0;;;;;;112
Horst-G0923;83;;411;4747.0;198;89;215;18.0;165;27.0;6.0;64.0;6.0;34.0;39.0;107.0;33.0;15.0;57.0;12.0;12.0;7.0;9.0;;1.0;;4.0;;;;1972
Houten-G0321;16;;236;1811.0;302;182;102;206.0;114;10.0;164.0;68.0;24.0;54.0;15.0;46.0;4.0;10.0;8.0;10.0;7.0;5.0;1.0;;;;2.0;;;;559
Huijbergen-G0803;6;;67;446.0;51;13;34;3.0;21;5.0;;8.0;2.0;9.0;3.0;27.0;3.0;2.0;3.0;7.0;2.0;1.0;;;;;;;;;326
Huissen-G0255;21;;746;2448.0;144;70;175;93.0;115;30.0;8.0;82.0;4.0;207.0;29.0;80.0;11.0;14.0;58.0;10.0;13.0;10.0;2.0;;1.0;;1.0;;;;956
Huizen-G0406;57;;1513;510.0;1614;1638;859;1710.0;745;192.0;1218.0;111.0;341.0;123.0;118.0;79.0;16.0;50.0;6.0;26.0;14.0;11.0;13.0;;6.0;7.0;2.0;9.0;;;2035
Hulsberg-G0924;28;;199;831.0;69;35;120;4.0;46;18.0;;93.0;5.0;19.0;15.0;40.0;12.0;7.0;8.0;9.0;13.0;1.0;3.0;;;;1.0;;;;480
Hulst-G0677;93;;959;3211.0;376;86;275;49.0;150;58.0;5.0;943.0;7.0;252.0;34.0;221.0;44.0;27.0;16.0;24.0;38.0;9.0;4.0;;4.0;;;;;;2644
Hummelo en Keppel-G0256;16;;662;307.0;404;215;64;206.0;92;6.0;5.0;5.0;9.0;32.0;13.0;25.0;1.0;3.0;15.0;1.0;2.0;15.0;1.0;;;;;;;;397
Hunsel-G0925;29;;101;1376.0;38;10;56;2.0;32;3.0;;10.0;1.0;19.0;10.0;52.0;6.0;5.0;23.0;11.0;3.0;4.0;3.0;;;;;;;;474
Idaarderadeel-G0078;26;;2360;168.0;483;245;236;149.0;126;97.0;3.0;34.0;38.0;92.0;72.0;15.0;9.0;2.0;5.0;2.0;4.0;4.0;10.0;;4.0;;;;;;602
IJlst-G0102;5;;246;20.0;50;250;31;256.0;25;4.0;7.0;8.0;22.0;21.0;11.0;8.0;;;1.0;3.0;2.0;3.0;1.0;;;;;;;;150
IJsselmuiden-G0191;29;;500;470.0;183;764;74;839.0;75;17.0;1528.0;34.0;265.0;60.0;11.0;48.0;12.0;8.0;;4.0;3.0;16.0;4.0;;1.0;;;;;;819
IJsselstein-G0353;33;;611;1701.0;329;332;326;379.0;244;62.0;316.0;104.0;38.0;44.0;40.0;18.0;9.0;9.0;8.0;12.0;7.0;6.0;2.0;;1.0;;1.0;1.0;;;1066
Ilpendam-G0407;11;;388;329.0;105;66;94;115.0;86;248.0;11.0;15.0;7.0;29.0;19.0;20.0;2.0;2.0;1.0;3.0;1.0;;7.0;;4.0;;;;;;262
Jabeek-G0927;10;;36;183.0;6;3;23;2.0;8;7.0;;26.0;;1.0;;2.0;1.0;;2.0;1.0;;;;;1.0;;;;;;59
Jisp-G0408;1;;168;39.0;88;20;46;15.0;25;68.0;2.0;5.0;4.0;8.0;13.0;16.0;5.0;;1.0;1.0;1.0;1.0;;;;;;;;;98
Jutphaas-G0322;25;;592;1118.0;348;208;260;336.0;212;22.0;88.0;78.0;33.0;37.0;46.0;20.0;6.0;12.0;9.0;12.0;2.0;4.0;3.0;;;;;2.0;;;707
Kamerik-G0323;9;;89;445.0;73;204;51;297.0;51;2.0;192.0;16.0;28.0;14.0;3.0;21.0;;1.0;1.0;4.0;1.0;2.0;1.0;;;;1.0;4.0;;;220
Kampen-G0166;47;;3471;991.0;745;2861;489;2167.0;612;135.0;1475.0;247.0;890.0;161.0;87.0;130.0;41.0;42.0;24.0;19.0;14.0;31.0;4.0;;5.0;;;;;;2638
Kantens-G0020;9;;355;14.0;126;185;17;71.0;29;35.0;1.0;1.0;137.0;12.0;3.0;4.0;1.0;1.0;1.0;;2.0;2.0;;;;;;;;;134
Kapelle-G0678;17;;938;83.0;431;583;114;914.0;117;16.0;339.0;20.0;79.0;74.0;9.0;142.0;9.0;6.0;2.0;5.0;6.0;6.0;6.0;;2.0;;;;;;921
Katwijk-G0537;77;;2245;783.0;1227;1888;708;4099.0;927;117.0;2915.0;133.0;402.0;321.0;73.0;115.0;46.0;82.0;13.0;26.0;33.0;18.0;13.0;;11.0;;6.0;;;;4712
Katwoude-G0409;1;;15;16.0;20;23;7;29.0;16;;5.0;1.0;;;3.0;7.0;;;;;;;;;;;;;;;31
Kedichem-G0538;6;;243;7.0;179;114;5;28.0;3;1.0;42.0;;1.0;6.0;;4.0;2.0;9.0;;;1.0;;;;;;;;;;100
Kerkrade-G0928;667;;3793;10118.0;616;246;2009;152.0;470;1256.0;24.0;569.0;29.0;167.0;226.0;264.0;178.0;56.0;194.0;65.0;125.0;32.0;63.0;;18.0;;28.0;;;;7686
Kerkwijk-G0257;19;;503;37.0;103;542;26;251.0;59;8.0;757.0;7.0;37.0;14.0;8.0;45.0;2.0;2.0;2.0;3.0;14.0;9.0;1.0;;2.0;;1.0;;;;633
Kessel-G0929;17;;117;1050.0;85;29;74;2.0;60;4.0;1.0;12.0;;12.0;7.0;28.0;6.0;;22.0;3.0;1.0;1.0;3.0;;1.0;;;;;;407
Kesteren-G0258;17;;1031;45.0;215;395;87;183.0;107;21.0;1108.0;9.0;43.0;68.0;3.0;68.0;5.0;2.0;2.0;3.0;11.0;10.0;1.0;;3.0;;;;;;682
Klaaswaal-G0539;1;;445;17.0;221;188;82;201.0;23;16.0;114.0;4.0;19.0;15.0;15.0;16.0;;1.0;;5.0;1.0;;1.0;3.0;1.0;;1.0;;;;301
Klimmen-G0930;24;;175;996.0;107;19;113;11.0;54;14.0;3.0;159.0;7.0;18.0;14.0;19.0;4.0;1.0;29.0;2.0;3.0;12.0;6.0;;;;3.0;;;;435
Kloosterburen-G0021;7;;184;403.0;88;210;16;10.0;20;21.0;1.0;20.0;12.0;10.0;3.0;;5.0;3.0;17.0;2.0;2.0;;;;;;;;;;91
Klundert-G0804;15;;309;624.0;136;788;80;382.0;75;4.0;146.0;38.0;48.0;33.0;8.0;20.0;6.0;2.0;4.0;4.0;11.0;1.0;2.0;;1.0;;;;;;611
Kockengen-G0324;4;;43;334.0;45;232;29;162.0;45;4.0;172.0;12.0;13.0;9.0;5.0;37.0;;2.0;4.0;2.0;4.0;3.0;;;;;;;;;141
Koedijk-G0410;12;;400;324.0;137;45;79;19.0;81;73.0;;30.0;10.0;28.0;16.0;23.0;7.0;2.0;5.0;6.0;2.0;2.0;4.0;;;;;;;;291
Kollumerland en Nieuwkruisland-G0079;49;;733;22.0;234;2346;90;1134.0;98;65.0;126.0;26.0;244.0;46.0;21.0;50.0;6.0;7.0;;3.0;5.0;5.0;2.0;;;;;;;;1039
Koog aan de Zaan-G0411;27;;1080;239.0;380;190;186;72.0;185;738.0;16.0;66.0;40.0;69.0;75.0;6.0;28.0;8.0;;13.0;11.0;1.0;4.0;;2.0;;;;;;690
Kortgene-G0682;12;;686;9.0;250;193;40;362.0;53;11.0;115.0;5.0;18.0;61.0;8.0;7.0;9.0;2.0;;2.0;;1.0;1.0;;;;;;;;380
Koudekerk aan den Rijn-G0540;9;;225;225.0;234;364;99;309.0;87;20.0;39.0;19.0;24.0;22.0;12.0;9.0;1.0;11.0;;2.0;2.0;1.0;2.0;;;;1.0;;;;335
Krimpen aan de Lek-G0541;15;;1237;43.0;335;359;272;117.0;76;39.0;212.0;11.0;25.0;36.0;12.0;12.0;5.0;3.0;;3.0;3.0;2.0;;;;;1.0;;;;586
Krimpen aan den IJssel-G0542;32;;2968;383.0;1167;688;886;619.0;380;192.0;1265.0;90.0;228.0;117.0;70.0;18.0;12.0;12.0;13.0;20.0;15.0;8.0;3.0;;;;2.0;;;;2181
Krommenie-G0413;25;;1706;1055.0;663;462;582;163.0;510;1227.0;20.0;304.0;132.0;148.0;153.0;27.0;26.0;9.0;13.0;29.0;14.0;6.0;10.0;;4.0;;;;;;1351
Kuinre-G0167;1;;149;35.0;34;19;16;74.0;25;2.0;1.0;5.0;10.0;18.0;1.0;10.0;1.0;;;3.0;;11.0;;;;;;;;;97
Landsmeer-G0415;25;;1167;197.0;434;273;360;145.0;235;472.0;12.0;63.0;37.0;82.0;78.0;24.0;9.0;12.0;2.0;27.0;5.0;34.0;2.0;;;;;;;;656
Langbroek-G0325;12;;128;135.0;49;95;16;205.0;40;6.0;150.0;3.0;14.0;9.0;7.0;19.0;1.0;9.0;1.0;2.0;6.0;3.0;2.0;;;;;;;;161
Langedijk-G0416;27;;890;1430.0;521;682;229;232.0;248;232.0;23.0;93.0;81.0;111.0;61.0;27.0;22.0;2.0;9.0;14.0;6.0;3.0;10.0;;1.0;;;;;;915
Langerak-G0543;4;;131;1.0;40;187;13;22.0;26;2.0;115.0;1.0;50.0;4.0;;6.0;;4.0;;;;;;1.0;;;;;;;58
Laren-G0417;30;;864;1884.0;1844;282;536;165.0;566;121.0;27.0;170.0;41.0;139.0;119.0;76.0;36.0;62.0;37.0;32.0;15.0;3.0;5.0;;2.0;6.0;;1.0;;;1704
Laren (Gld.)-G0259;31;;739;66.0;1020;502;128;573.0;130;7.0;4.0;23.0;18.0;149.0;27.0;97.0;16.0;15.0;1.0;6.0;11.0;38.0;1.0;;1.0;;;;;;762
Leek-G0022;35;;2053;61.0;700;1369;267;370.0;194;179.0;21.0;47.0;453.0;64.0;57.0;170.0;16.0;3.0;;18.0;13.0;9.0;5.0;;4.0;;;;;;1119
Leende-G0805;16;;90;1102.0;173;26;83;7.0;74;;1.0;18.0;2.0;27.0;13.0;40.0;1.0;10.0;23.0;10.0;7.0;;1.0;;1.0;;;;;;330
Leens-G0023;8;;523;154.0;232;400;35;34.0;49;72.0;8.0;17.0;308.0;17.0;7.0;7.0;2.0;2.0;17.0;3.0;1.0;;;;;;;;;;259
Leerbroek-G0544;2;;38;1.0;27;112;11;82.0;10;3.0;208.0;1.0;18.0;4.0;3.0;21.0;;2.0;;1.0;;1.0;;;;;;;;;83
Leerdam-G0545;42;;2253;230.0;492;1085;290;689.0;192;136.0;623.0;22.0;197.0;64.0;42.0;35.0;6.0;27.0;2.0;10.0;7.0;3.0;;6.0;;;1.0;;;;1221
Leersum-G0326;25;;569;60.0;523;312;116;362.0;177;21.0;271.0;30.0;62.0;73.0;20.0;32.0;8.0;14.0;3.0;8.0;6.0;48.0;1.0;;8.0;;1.0;2.0;;;565
Leeuwarden-G0080;286;;18404;2793.0;4043;7203;2695;3120.0;1753;1378.0;222.0;855.0;1023.0;1024.0;721.0;171.0;144.0;107.0;110.0;117.0;119.0;38.0;73.0;;12.0;;;;;;9751
Leeuwarderadeel-G0081;15;;1300;39.0;313;705;122;155.0;91;64.0;11.0;27.0;30.0;90.0;47.0;18.0;8.0;4.0;4.0;11.0;8.0;2.0;6.0;;;;;;;;480
Leiden-G0546;366;;16270;6707.0;5946;3166;4052;3051.0;3727;2429.0;582.0;992.0;526.0;676.0;1420.0;259.0;184.0;200.0;164.0;169.0;138.0;50.0;29.0;;33.0;;20.0;;;;14606
Leiderdorp-G0547;10;;1095;924.0;1510;1051;646;552.0;786;98.0;114.0;139.0;85.0;54.0;123.0;30.0;9.0;43.0;18.0;21.0;5.0;12.0;4.0;;7.0;;2.0;;;;1468
Leidschendam-G0548;60;;2111;4245.0;2689;983;1308;774.0;1042;108.0;65.0;354.0;162.0;194.0;152.0;74.0;43.0;89.0;111.0;42.0;32.0;7.0;7.0;;21.0;;;;;;2923
Leimuiden-G0549;6;;131;637.0;116;246;86;172.0;57;20.0;9.0;19.0;11.0;29.0;15.0;15.0;2.0;3.0;8.0;1.0;2.0;4.0;2.0;;;;1.0;;;;381
Lekkerkerk-G0550;28;;1349;47.0;740;355;242;93.0;142;41.0;345.0;15.0;29.0;32.0;16.0;29.0;5.0;7.0;1.0;8.0;2.0;2.0;1.0;;1.0;;1.0;;;;542
